trial_number,start_time,end_time,stimuli_colours,capture_colour,left_orientation,right_orientation,target_bar,target_colour,target_orientation,report_orientation,performance,difference
1,0:00:01.928480,0:00:07.215363,"['#a8f0d1', '#99ceff']",#99ceff,-37,5,right,#99ceff,5,-24,68,29
2,0:00:07.215363,0:00:11.248870,"['#f5e2a3', '#99ceff']",#f5e2a3,-8,-70,left,#f5e2a3,-8,-30,76,22
3,0:00:11.248870,0:00:15.633645,"['#99ceff', '#f5e2a3']",#f5e2a3,71,79,right,#f5e2a3,79,68,88,11
4,0:00:15.633645,0:00:19.865363,"['#99ceff', '#f5e2a3']",#f5e2a3,-63,-8,right,#f5e2a3,-8,-33,72,25
5,0:00:19.865363,0:00:24.215416,"['#a8f0d1', '#99ceff']",#a8f0d1,-59,-20,left,#a8f0d1,-59,-61,98,2
6,0:00:24.215416,0:00:28.782509,"['#a8f0d1', '#f5e2a3']",#f5e2a3,-73,-12,left,#a8f0d1,-73,-64,90,9
7,0:00:28.782509,0:00:32.398443,"['#ff99ac', '#f5e2a3']",#f5e2a3,-63,-7,right,#f5e2a3,-7,-9,98,2
8,0:00:32.398443,0:00:36.516278,"['#ff99ac', '#a8f0d1']",#a8f0d1,-14,58,right,#a8f0d1,58,51,92,7
9,0:00:36.516278,0:00:41.098439,"['#99ceff', '#f5e2a3']",#99ceff,-55,67,left,#99ceff,-55,-30,72,25
10,0:00:41.098439,0:00:45.615221,"['#ff99ac', '#a8f0d1']",#ff99ac,77,-62,left,#ff99ac,77,66,88,11
