trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,condition_code,idle_reaction_time_in_ms,response_time_in_ms,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.137396,0:00:03.995403,"['#99ceff', '#a8f0d1']",#a8f0d1,incongruent,79,-68,left,#99ceff,79,3,222.21,340.27,m,24,39,55,True,55
2,1,0:00:03.995403,0:00:08.247244,"['#a8f0d1', '#ff99ac']",#a8f0d1,congruent,-18,85,left,#a8f0d1,-18,1,578.85,401.28,m,28,49,46,False,-46
3,1,0:00:08.247244,0:00:12.251079,"['#ff99ac', '#f5e2a3']",#99ceff,neutral,18,-51,left,#ff99ac,18,5,439.97,292.65,m,20,98,2,True,-2
4,1,0:00:12.251079,0:00:16.278722,"['#ff99ac', '#99ceff']",#99ceff,congruent,6,16,right,#99ceff,16,2,448.89,304.55,m,21,94,5,True,-5
5,1,0:00:16.278722,0:00:20.648120,"['#ff99ac', '#a8f0d1']",#ff99ac,incongruent,-41,-43,right,#a8f0d1,-43,4,774.28,321.42,m,22,28,65,False,-65
6,1,0:00:20.648120,0:00:25.227828,"['#99ceff', '#ff99ac']",#f5e2a3,neutral,6,-43,right,#ff99ac,-43,6,900.27,405.24,m,29,20,72,False,-72
7,2,0:00:29.238607,0:00:33.162583,"['#ff99ac', '#f5e2a3']",#f5e2a3,incongruent,-10,-54,left,#ff99ac,-10,3,344.73,307.03,m,20,67,30,False,-30
8,2,0:00:33.162583,0:00:37.062750,"['#a8f0d1', '#f5e2a3']",#a8f0d1,incongruent,6,-74,right,#f5e2a3,-74,4,341.26,288.19,m,20,4,86,False,-94
9,2,0:00:37.062750,0:00:40.874131,"['#ff99ac', '#99ceff']",#99ceff,congruent,-44,-30,right,#99ceff,-30,2,281.24,259.42,m,18,47,48,False,-48
10,2,0:00:40.874131,0:00:44.856637,"['#99ceff', '#ff99ac']",#a8f0d1,neutral,-28,80,left,#99ceff,-28,5,326.87,385.9,m,27,39,55,False,-55
11,2,0:00:44.856637,0:00:48.664049,"['#ff99ac', '#99ceff']",#f5e2a3,neutral,-50,57,right,#99ceff,57,6,276.78,256.44,m,18,57,39,True,39
12,2,0:00:48.664049,0:00:52.616298,"['#a8f0d1', '#99ceff']",#a8f0d1,congruent,84,69,left,#a8f0d1,84,1,391.85,289.18,m,20,29,64,True,64
