trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,0,0:00:43.272274,0:00:48.602200,"['#f5e2a3', '#a8f0d1']",#a8f0d1,congruent,-68,52,right,#a8f0d1,52,0.8099758625030518,0.5710511207580566,m,50,98,2,True,2
2,0,0:00:48.602200,0:00:53.986225,"['#ff99ac', '#f5e2a3']",#ff99ac,incongruent,-77,-76,right,#f5e2a3,-76,1.0448977947235107,0.3875136375427246,m,36,24,68,False,-112
3,0,0:00:53.986225,0:00:59.136390,"['#a8f0d1', '#99ceff']",#ff99ac,neutral,20,-27,right,#99ceff,-27,0.8563270568847656,0.3427608013153076,z,-32,94,5,True,5
4,0,0:00:59.136390,0:01:03.985541,"['#a8f0d1', '#ff99ac']",#a8f0d1,congruent,-19,-24,left,#a8f0d1,-19,0.5971245765686035,0.3016071319580078,z,-27,91,8,True,8
5,0,0:01:03.985541,0:01:09.085894,"['#99ceff', '#a8f0d1']",#f5e2a3,neutral,-60,83,left,#99ceff,-60,0.9396836757659912,0.20931267738342285,m,20,11,80,False,-80
6,0,0:01:09.085894,0:01:14.485635,"['#f5e2a3', '#a8f0d1']",#a8f0d1,incongruent,-83,-8,left,#f5e2a3,-83,0.7357017993927002,0.7156133651733398,z,-64,79,19,True,-19
7,1,0:01:14.485635,0:01:19.570487,"['#a8f0d1', '#99ceff']",#ff99ac,neutral,-72,-43,right,#99ceff,-43,0.7493126392364502,0.3821256160736084,m,34,14,77,False,-77
8,1,0:01:19.570487,0:01:24.702632,"['#f5e2a3', '#ff99ac']",#f5e2a3,congruent,37,-42,left,#f5e2a3,37,0.4168388843536377,0.7657885551452637,z,-69,18,74,False,106
9,1,0:01:24.702632,0:01:29.236159,"['#ff99ac', '#99ceff']",#99ceff,congruent,26,-45,right,#99ceff,-45,0.44725656509399414,0.13487458229064941,z,-12,63,33,True,-33
10,1,0:01:29.236159,0:01:34.136139,"['#a8f0d1', '#f5e2a3']",#f5e2a3,incongruent,19,14,left,#a8f0d1,19,0.7329902648925781,0.2160334587097168,m,20,99,1,True,-1
11,1,0:01:34.136139,0:01:39.135737,"['#f5e2a3', '#a8f0d1']",#f5e2a3,incongruent,-70,53,right,#a8f0d1,53,0.695073127746582,0.35112857818603516,m,32,77,21,True,21
12,1,0:01:39.135737,0:01:44.568918,"['#99ceff', '#a8f0d1']",#ff99ac,neutral,75,74,left,#99ceff,75,0.6968414783477783,0.7842237949371338,m,70,94,5,True,5
